ВЛ 6кВ № 2-5,ПС 35 № 2 "Рембаза",КРУ 6кВ яч. № 9,отключить В-9;выкатить В-9 в контрольное положение;включить ЗН-9
ВЛ 6кВ № 2-5,ПС 35 № 2 "Рембаза",СПП 6-2,отключить В-1;отключить ЛР-1;включить ЗН-1
ВЛ 6кВ № 4-1,ПС 35 № 4 "Карьерная",КРУ 6кВ яч. № 4,отключить В-4;выкатить В-4 в контрольное положение;включить ЗН-4
ВЛ 6кВ № 4-1,ПС 35 № 4 "Карьерная",СПП 6-2,отключить В-1;отключить ЛР-1;включить ЗН-1
ВЛ 6кВ № 4-3,ПС 35 № 4 "Карьерная",ячейка № 6,отключить В-6;выкатить В-6 в контрольное положение;включить ЗН-6
ВЛ 6кВ № 5-1,ПС 35 № 5 "Горная",ячейка № 4,отключить В-4;выкатить В-4 в контрольное положение;включить ЗН-4
ВЛ 6кВ № 5-2,ПС 35 № 5 "Горная",ячейка № 5,отключить В-5;выкатить В-5 в контрольное положение;включить ЗН-5
ВЛ 6кВ № 5-3,ПС 35 № 5 "Горная",ячейка № 6,отключить В-6;выкатить В-6 в контрольное положение;включить ЗН-6
